timestamp,edge,lat,long,head,time,bitrate_cell,jitter_cell,lost_cell
1663855141.6,"(1487207562, 3596765030, 0)",40.64334558254087,-8.659108366398264,135.59749424426843,13:59,22.5,0.601,0
1663855141.7,"(1487207562, 3596765030, 0)",40.643341512963595,-8.659103371966774,135.59749424426843,13:59,17.9,0.781,0
1663855141.8,"(1487207562, 3596765030, 0)",40.64333744338611,-8.65909837753589,135.59749424426843,13:59,21.0,0.736,0
1663855141.9,"(3596765030, 1487207562, 0)",40.643333373808396,-8.659093383105619,135.59749424426843,13:59,18.5,1.104,0
1663855142.0,"(1487207562, 3596765030, 0)",40.643333333,-8.659093333,136.9290233604978,13:59,20.7,0.628,0
1663855142.1,"(1487207562, 3596765030, 0)",40.64333129826732,-8.659086118816669,136.9290233604978,13:59,20.7,0.741,0
1663855142.2,"(3596765030, 1487207562, 0)",40.643329263534206,-8.65907890463378,136.9290233604978,13:59,19.8,0.794,0
1663855142.3,"(1487207562, 3596765030, 0)",40.64332722880065,-8.65907169045133,136.9290233604978,13:59,20.5,0.678,0
1663855142.4,"(1487207562, 3596765030, 0)",40.64332519406663,-8.65906447626932,136.9290233604978,13:59,20.2,0.663,0
1663855142.5,"(1487416310, 26019996, 0)",40.64332315933216,-8.65905726208775,136.9290233604978,13:59,17.6,0.626,0
1663855142.6,"(1487416310, 26019996, 0)",40.64332112459725,-8.65905004790662,136.9290233604978,13:59,19.5,0.813,0
1663855142.7,"(1487416310, 26019996, 0)",40.64331908986189,-8.659042833725929,136.9290233604978,13:59,22.5,0.648,0
1663855142.8,"(1487416310, 26019996, 0)",40.64331705512609,-8.659035619545678,136.9290233604978,13:59,17.2,0.883,0
1663855142.9,"(1487416310, 26019996, 0)",40.64331502038982,-8.659028405365868,136.9290233604978,13:59,21.6,0.525,0
1663855143.0,"(1487416310, 26019996, 0)",40.643315,-8.659028333,110.31824933096846,13:59,22.4,0.643,0
1663855143.1,"(1487416310, 26019996, 0)",40.64331185539315,-8.659022043785594,110.31824933096846,13:59,18.6,0.744,0
1663855143.2,"(1487416310, 26019996, 0)",40.64330871078595,-8.65901575457178,110.31824933096846,13:59,19.0,0.866,0
1663855143.3,"(1487416310, 26019996, 0)",40.64330556617843,-8.659009465358556,110.31824933096846,13:59,21.3,0.664,0
1663855143.4,"(1487416310, 26019996, 0)",40.64330242157054,-8.659003176145928,110.31824933096846,13:59,19.2,0.746,0
1663855143.5,"(1487416310, 26019996, 0)",40.64329927696233,-8.658996886933894,110.31824933096846,13:59,21.0,0.744,0
1663855143.6,"(1487416310, 26019996, 0)",40.64329613235377,-8.658990597722449,110.31824933096846,13:59,19.1,0.839,0
1663855143.7,"(1487416310, 26019996, 0)",40.64329298774487,-8.658984308511597,110.31824933096846,13:59,20.9,0.641,0
1663855143.8,"(1487416310, 26019996, 0)",40.643289843135626,-8.65897801930134,110.31824933096846,13:59,20.4,0.474,0
1663855143.9,"(1487416310, 26019996, 0)",40.64328669852604,-8.658971730091674,110.31824933096846,13:59,18.9,0.839,0
1663855144.0,"(1487416310, 26019996, 0)",40.643286667,-8.658971667,123.28112256560354,13:59,18.8,0.766,0
1663855144.1,"(1487416310, 26019996, 0)",40.64328259742408,-8.658968337376571,123.28112256560354,13:59,18.1,0.864,0
1663855144.2,"(1487416310, 26019996, 0)",40.64327852784806,-8.658965007753546,123.28112256560354,13:59,18.4,0.503,0
1663855144.3,"(3596765030, 1487207562, 0)",40.643274458271954,-8.658961678130929,123.28112256560354,13:59,19.1,0.738,0
1663855144.4,"(1487207562, 3596765030, 0)",40.64327038869574,-8.658958348508717,123.28112256560354,13:59,21.5,0.739,0
1663855144.5,"(1487207562, 3596765030, 0)",40.643266319119434,-8.658955018886912,123.28112256560354,13:59,22.2,0.683,0
1663855144.6,"(3596765030, 1487207562, 0)",40.643262249543035,-8.65895168926551,123.28112256560354,13:59,22.2,0.664,0
1663855144.7,"(1487207562, 3596765030, 0)",40.64325817996654,-8.658948359644517,123.28112256560354,13:59,20.1,0.656,0
1663855144.8,"(3596765030, 1487207562, 0)",40.64325411038994,-8.65894503002393,123.28112256560354,13:59,18.2,0.975,0
